review_bin,n_businesses,rating_std,mean_rating,state
1–4,1275,1.0925036473778782,4.128549019607843,District_of_Columbia
5–9,1733,0.758666669256224,4.101500288517022,District_of_Columbia
10–19,1343,0.6907640940342408,4.161429635145198,District_of_Columbia
20–49,1990,0.6608846100332598,4.116281407035176,District_of_Columbia
50–99,1508,0.5940689312635142,4.161007957559682,District_of_Columbia
100–199,1269,0.5082225557085801,4.2506698187549254,District_of_Columbia
200–499,1110,0.4457473273720216,4.240180180180181,District_of_Columbia
500–999,486,0.3432651108400828,4.284156378600823,District_of_Columbia
1000+,317,0.3063236934471649,4.309463722397476,District_of_Columbia
1–4,14441,0.9900628952334152,4.279350460494426,Virginia
5–9,19405,0.7220173645699882,4.263679464055656,Virginia
10–19,15062,0.6611440215592815,4.256619306864958,Virginia
20–49,21531,0.6204592653687612,4.26806929543449,Virginia
50–99,16440,0.5676835788363392,4.286088807785888,Virginia
100–199,12988,0.49207729474710704,4.3103711117955035,Virginia
200–499,12316,0.45128821619645537,4.282940889899318,Virginia
500–999,5013,0.4105076673243744,4.214981049271893,Virginia
1000+,2428,0.3822516378973029,4.24674629324547,Virginia
1–4,2127,0.9189839627922214,4.3765867418899855,Wyoming
5–9,2378,0.6277230020647517,4.37031118587048,Wyoming
10–19,1608,0.5497041275035544,4.380597014925373,Wyoming
20–49,2079,0.5128807814044977,4.377970177970178,Wyoming
50–99,1388,0.46778503978589653,4.355547550432276,Wyoming
100–199,1066,0.4712969311689993,4.298874296435272,Wyoming
200–499,948,0.4220031417026367,4.262236286919831,Wyoming
500–999,356,0.41492748810240565,4.217696629213483,Wyoming
1000+,135,0.4362106286513078,4.209629629629629,Wyoming
